name	probes	action
Average_left	Probe_URA-L-15683-SspI-RC,Probe_URA-L-6065-SspI-RC,Probe_URA-L-3728-SspI-RC,Probe_URA-L-3081-MfeI-RC,Probe_URA-L-2599-MfeI-RC,Probe_URA-L-1560-SspI-RC	average
Average_right	Probe_URA-R-1439-SspI,Probe_URA-R-2715-93-SspI,Probe_URA-R-2954-SspI,Probe_URA-R-8073-SspI,Probe_URA-R-12116-SspI	average
Average_3Left_(2599-3081-3728)	Probe_URA-L-3728-SspI-RC,Probe_URA-L-3081-MfeI-RC,Probe_URA-L-2599-MfeI-RC	average
Average_4left_(less_4kb)	Probe_URA-L-3728-SspI-RC,Probe_URA-L-3081-MfeI-RC,Probe_URA-L-2599-MfeI-RC,Probe_URA-L-1560-SspI-RC	average
Average_left_(2599-3081-3728-6065)	Probe_URA-L-3728-SspI-RC,Probe_URA-L-3081-MfeI-RC,Probe_URA-L-2599-MfeI-RC,Probe_URA-L-6065-SspI-RC	average
Average_3right_(1439-2715-2954)	Probe_URA-R-1439-SspI,Probe_URA-R-2715-93-SspI,Probe_URA-R-2954-SspI	average
Average_4right_(1429-2715-2954-8072)	Probe_URA-R-1439-SspI,Probe_URA-R-2715-93-SspI,Probe_URA-R-2954-SspI,Probe_URA-R-8073-SspI	average
Average_2right_(2954-8072)	Probe_URA-R-2954-SspI,Probe_URA-R-8073-SspI	average
Average_right_(1439-2715)	Probe_URA-R-1439-SspI,Probe_URA-R-2715-93-SspI	average
Sum_7high	Probe_URA-L-15683-SspI-RC,Probe_URA-L-6065-SspI-RC,Probe_URA-L-3728-SspI-RC,Probe_URA-L-3081-MfeI-RC,Probe_URA-L-2599-MfeI-RC,Probe_URA-R-8073-SspI,Probe_URA-R-12116-SspI	sum
