fragment	probe	chr	type	dsdna_norm_capture_efficiency
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.015918176
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.015918176
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.014660424
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.01004943
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.045800969
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.23139811
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.001305624
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.345497889
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.473776056
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.28723833
18621	Probe_URA-R-1439-SspI	chr5	ss	0.037004594
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.040331281
18634	Probe_URA-R-2954-SspI	chr5	ss	0.043503511
18666	Probe_URA-R-8073-SspI	chr5	ss	0.569027942
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.036306137
18676	Probe_URA-R-10241-SspI	chr5	ss	0.002189128
18694	Probe_URA-R-12116-SspI	chr5	ss	0.031514795
18706	Probe_URA-R-13482-SspI	chr5	ss	0.011582253
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.011582253
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.009380841
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.048941645
8579	chr4-64420-CDC13	chr4	ds	1.491181548
32542	chr8-428677-DNA2	chr8	ds	0.368326022
68339	chr15-996452-MEK1	chr15	ds	0.454204765
5315	chr2-650593-MET8	chr2	ds	2.01063067
65930	chr15-620339-PDR5	chr15	ds	0.425797463
38864	chr10-449622-POL31	chr10	ds	0.961504648
30750	chr8-140404-ARG4-54nt	chr8	ds	1.288354884
30534	Neg_chr8-103079	chr8	ds_neg	0.023445418
9403	Neg_chr4-200383	chr4	ds_neg	0.025886253
2630	Neg_chr2-199707	chr2	ds_neg	0.006799038
64173	Neg_chr15-331170	chr15	ds_neg	0.004011595
