fragment	probe	chr	type	dsdna_norm_capture_efficiency
2630	Neg_chr2-199707	chr2	ds_neg	0.006858092353031081
5315	chr2-650593-MET8	chr2	ds	1.7684002617831822
8579	chr4-64420-CDC13	chr4	ds	1.4089264930067051
9403	Neg_chr4-200383	chr4	ds_neg	0.017803607748468685
18529	Probe_URA-L-17213-MfeI-RC	chr5	ss	0.1151610867920979
18529	Probe_URA-L-16220-MfeI-RC	chr5	ss	0.1151610867920979
18535	Probe_URA-L-15683-SspI-RC	chr5	ss	0.06457579759614065
18559	Probe_URA-L-9924-MfeI-RC	chr5	ss	0.024332511668554272
18583	Probe_URA-L-6532-MfeI-RC	chr5	ss	0.01758414879317169
18589	Probe_URA-L-6065-SspI-RC	chr5	ss	0.2574802193021989
18600	Probe_URA-L-4543-SspI-RC	chr5	ss_neg	0.11400892727678869
18605	Probe_URA-L-3728-SspI-RC	chr5	ss	0.4322244124574308
18611	Probe_URA-L-3081-MfeI-RC	chr5	ss	0.4771312011850783
18614	Probe_URA-L-2599-MfeI-RC	chr5	ss	0.27654571604362527
18616	Probe_URA-L-1560-SspI-RC	chr5	ss	0.019038064372014277
18618	Probe_URA-L-774-MfeI-RC	chr5	ss_neg	0.4244336195443875
18621	Probe_URA-R-1439-SspI	chr5	ss	0.025128050381505878
18632	Probe_URA-R-2715-93-SspI	chr5	ss	0.061366210374922105
18634	Probe_URA-R-2954-SspI	chr5	ss	0.08484831859170053
18666	Probe_URA-R-8073-SspI	chr5	ss	0.3931881507839779
18673	Probe_URA-R-9028-MfeI	chr5	ss	0.061859993024340344
18676	Probe_URA-R-10241-SspI	chr5	ss	0.005843094684782481
18694	Probe_URA-R-12116-SspI	chr5	ss	0.07154361942682023
18706	Probe_URA-R-13482-SspI	chr5	ss	0.06435633864084365
18706	Probe_URA-R-14040-MfeI	chr5	ss	0.06435633864084365
30534	Neg_chr8-103079	chr8	ds_neg	0.017309825099050446
30750	chr8-140404-ARG4-54nt	chr8	ds	1.0786133329153162
32542	chr8-428677-DNA2	chr8	ds	0.47685687749095707
38864	chr10-449622-POL31	chr10	ds	1.3937838250912125
64173	Neg_chr15-331170	chr15	ds_neg	0.004224584889467146
65930	chr15-620339-PDR5	chr15	ds	0.5737205738851681
68339	chr15-996452-MEK1	chr15	ds	0.2996986358274582
