fragments	probes	contacts_over_total	Capture_efficiency_WT
2630	Neg_chr2-199707	0.000013255	0.003287331
5315	chr2-650593-MET8	0.006956945	1.725373906
8579	chr4-64420-CDC13	0.006024955	1.494233412
9403	Neg_chr4-200383	0.0000472208	0.011711118
18529	Probe_URA-L-17213-MfeI-RC	0.0000744557	0.018465557
18529	Probe_URA-L-16220-MfeI-RC	0.0000744557	0.018465557
18535	Probe_URA-L-15683-SspI-RC	0.0000330339	0.008192646
18559	Probe_URA-L-9924-MfeI-RC	0.0000163616	0.0040578
18583	Probe_URA-L-6532-MfeI-RC	0.0000503275	0.012481587
18589	Probe_URA-L-6065-SspI-RC	0.000527196	0.130748473
18600	Probe_URA-L-4543-SspI-RC	0.00000232998	0.000577851
18605	Probe_URA-L-3728-SspI-RC	0.00115427	0.286267503
18611	Probe_URA-L-3081-MfeI-RC	0.00188728	0.468059502
18614	Probe_URA-L-2599-MfeI-RC	0.000735185	0.182331327
18616	Probe_URA-L-1560-SspI-RC	0.0000851736	0.021123673
18618	Probe_URA-L-774-MfeI-RC	0.0000169312	0.004199052
18621	Probe_URA-R-1439-SspI	0.000129754	0.032179893
18632	Probe_URA-R-2715-93-SspI	0.000148963	0.036943956
18634	Probe_URA-R-2954-SspI	0.000146115	0.036237693
18666	Probe_URA-R-8073-SspI	0.000488622	0.121181825
18673	Probe_URA-R-9028-MfeI	0.000085536	0.021213561
18676	Probe_URA-R-10241-SspI	0.00000284775	0.000706263
18694	Probe_URA-R-12116-SspI	0.0000691744	0.017155761
18706	Probe_URA-R-13482-SspI	0.0000514666	0.012764092
18706	Probe_URA-R-14040-MfeI	0.0000514666	0.012764092
30534	Neg_chr8-103079	0.0000426644	0.010581098
30750	chr8-140404-ARG4-54nt	0.004896522	1.214373637
32542	chr8-428677-DNA2	0.001624097	0.402787995
38864	chr10-449622-POL31	0.005007584	1.241917879
64173	Neg_chr15-331170	0.00000673104	0.001669348
65930	chr15-620339-PDR5	0.001910477	0.473812332
68339	chr15-996452-MEK1	0.001804385	0.447500839
